word,old,new
现做,x,now
热死,x,a
现杀,x,now
很差,x,a
脏脏,x,a
人多,x,a
加位,x,v
超赞,x,a
选鱼,x,v
微辣,x,a
很酸爽,x,a
很嫩,x,a
红汤,x,n
超棒,x,a
太吵,x,a
酸汤,x,n
酸爽,x,a
超佳,x,a
常去,x,d
太挤,x,a
开着,x,v
杀鱼,x,v
现捞,x,now
很腥,x,a
还会来,x,back
中辣,x,a
点餐,x,v
很旺,x,a
不太够,x,a
亲民,x,a
汤底,x,n
店内,x,s
高逼格,x,n
烧鱼,x,v
鱼嫩,x,a
汤鲜,x,a
片鱼,x,n
现烧,x,now
桌鱼,x,n
好差,x,a
很破,x,a
热死了,x,a
略差,x,a
人不多,x,a
全鱼,x,n
窗边,x,s
不辣,x,a
鱼太多,x,a
挺大的,x,a
人太多,x,a
小脏,x,a
幽密,x,a
很闷,x,a
汤够,x,a
酸够,x,a
晚市,x,n
菜量,x,n
微信,x,n
太老,x,a
团券,x,n
湿滑,x,a
不差,x,a
特赞,x,a
很高,x,a
小贵,x,a
很好,x,a
不佳,x,a
极赞,x,a
闺蜜,x,n
进店,x,v
挑鱼,x,v
偏小,x,a
不闷,x,a
还来,x,back
超超棒,x,a
秘制,x,n
鱼太少,x,a
食材,x,n
差评,x,n
挺嫩,x,a
很赞,x,a
傻叉,x,n
汤酸,x,a
很鲜,x,a
略贵,x,a
太腥,x,a
偏吵,x,a
新开,x,a
点单,x,v
很足,x,a
摆盘,x,n
太热,x,a
不太多,x,a
老是,x,d
称鱼,x,v
稍显,x,d
给力,x,a
每桌,x,n
好脏,x,a
不油,x,a
不腻,x,a
不太大,x,a
不高,x,a
